year,climate_zone,continent,mean_temp_C,mean_pr_mm_day,mean_spi
1871,Temperate,Asia,8.579,2.3785,-0.0672
1871,Temperate,Asia/Europe,-8.7239,1.3662,-0.0713
1871,Temperate,Europe,8.1309,2.6365,0.012
1871,Temperate,North America,6.3382,2.5611,-0.0311
1871,Temperate,Oceania,14.1884,2.5614,-0.0642
1871,Temperate,South America,9.0965,2.7139,0.0504
1871,Tropical,Africa,26.1022,2.5754,0.1571
1871,Tropical,Asia,26.7724,4.1232,-0.4559
1871,Tropical,North America,26.1573,3.6825,-0.0572
1871,Tropical,Oceania,26.2377,5.7447,-0.073
1871,Tropical,South America,25.4614,3.668,0.1437
1872,Polar,Antarctica,-34.2043,0.6698,0.04
1872,Polar,Asia/Europe,-19.1389,0.7475,-0.4589
1872,Polar,Europe,-13.1586,1.2436,-1.076
1872,Polar,North America,-19.6938,0.6152,0.1046
1872,Polar,South America,-8.2867,1.8368,-0.0353
1872,Temperate,Africa,14.411,2.3123,0.2243
1872,Temperate,Antarctica,-2.2209,2.6985,0.2434
1872,Temperate,Asia,9.1051,2.3506,-0.1395
1872,Temperate,Asia/Europe,-9.5175,1.4367,0.2557
1872,Temperate,Europe,7.563,2.5577,-0.1717
1872,Temperate,North America,6.2888,2.5359,0.0117
1872,Temperate,Oceania,14.3447,2.6418,-0.1476
1872,Temperate,South America,9.5216,2.5932,-0.0841
1872,Tropical,Africa,26.5939,2.6665,0.0063
1872,Tropical,Asia,27.1098,4.3671,-0.3588
1872,Tropical,North America,26.1224,3.9766,0.2724
1872,Tropical,Oceania,26.4328,5.5701,-0.2131
1872,Tropical,South America,25.8688,3.607,-0.2821
1873,Polar,Antarctica,-34.2037,0.6432,0.219
1873,Polar,Asia/Europe,-17.4867,0.8591,0.4646
1873,Polar,Europe,-10.2546,1.298,-0.268
1873,Polar,North America,-18.9967,0.6816,-0.0711
1873,Polar,South America,-9.4564,1.7358,0.0661
1873,Temperate,Africa,14.3537,2.067,-0.4205
1873,Temperate,Antarctica,-2.3698,2.6841,-0.0285
1873,Temperate,Asia,9.1234,2.4264,-0.2547
1873,Temperate,Asia/Europe,-8.693,1.4478,0.1571
1873,Temperate,Europe,8.2258,2.5832,-0.0306
1873,Temperate,North America,6.1975,2.4236,-0.2314
1873,Temperate,Oceania,14.2899,2.8072,0.1643
1873,Temperate,South America,9.4137,2.5602,-0.103
1873,Tropical,Africa,25.8948,2.7884,0.0389
1873,Tropical,Asia,26.8198,5.4017,0.2625
1873,Tropical,North America,24.8231,3.3209,0.2867
1873,Tropical,Oceania,25.7611,4.9333,-0.0984
1873,Tropical,South America,24.4539,4.0077,0.3637
1874,Polar,Antarctica,-35.015,0.6399,-0.5319
1874,Polar,Asia/Europe,-18.2751,0.7529,0.059
1874,Polar,Europe,-12.0621,1.195,-1.1674
1874,Polar,North America,-19.405,0.6277,0.2235
1874,Polar,South America,-8.4291,1.7178,-0.2625
1874,Temperate,Africa,14.2921,2.1652,-0.4805
1874,Temperate,Antarctica,-2.5743,2.6295,-0.0619
1874,Temperate,Asia,9.0118,2.3122,-0.2785
1874,Temperate,Asia/Europe,-9.5962,1.5343,0.5853
1874,Temperate,Europe,7.8331,2.589,-0.032
1874,Temperate,North America,6.1077,2.4336,-0.2673
1874,Temperate,Oceania,14.1336,2.9093,0.5823
1874,Temperate,South America,9.2786,2.4687,-0.2621
1874,Tropical,Africa,25.2505,2.7302,0.2436
1874,Tropical,Asia,26.2265,5.2096,0.997
1874,Tropical,North America,24.7895,3.0962,0.1135
1874,Tropical,Oceania,25.6882,5.1085,-0.1
1874,Tropical,South America,24.1084,3.7694,0.5754
1875,Polar,Antarctica,-33.2612,0.6695,0.1218
1875,Polar,Asia/Europe,-17.9131,0.804,-0.178
1875,Polar,Europe,-12.2458,1.3139,-1.145
1875,Polar,North America,-18.8498,0.6632,-0.1866
1875,Polar,South America,-9.155,1.6213,-0.5695
1875,Temperate,Africa,14.3441,2.3846,0.2358
1875,Temperate,Antarctica,-1.9551,2.6167,-0.4329
1875,Temperate,Asia,8.7067,2.3847,-0.1602
1875,Temperate,Asia/Europe,-9.1489,1.3923,0.449
1875,Temperate,Europe,8.0789,2.6119,-0.216
1875,Temperate,North America,6.2768,2.607,-0.0477
1875,Temperate,Oceania,14.1985,2.5517,0.1455
1875,Temperate,South America,9.2436,2.6882,-0.1579
1875,Tropical,Africa,25.7623,2.5754,0.1224
1875,Tropical,Asia,26.4446,3.7511,0.0077
1875,Tropical,North America,25.7595,3.4013,-0.1416
1875,Tropical,Oceania,26.1082,6.1002,0.0657
1875,Tropical,South America,25.2256,3.5737,0.2125
1876,Polar,Antarctica,-33.6319,0.6577,-0.0851
1876,Polar,Asia/Europe,-18.4663,0.7512,-0.2867
1876,Polar,Europe,-11.8076,1.3824,-0.5657
1876,Polar,North America,-19.185,0.656,0.2363
1876,Polar,South America,-8.0872,1.5924,-0.5167
1876,Temperate,Africa,14.2548,2.3527,0.396
1876,Temperate,Antarctica,-2.3365,2.6295,-0.3551
1876,Temperate,Asia,8.8159,2.5372,0.1426
1876,Temperate,Asia/Europe,-8.7847,1.3326,-0.2172
1876,Temperate,Europe,8.1551,2.62,0.1644
1876,Temperate,North America,6.5166,2.5346,-0.0076
1876,Temperate,Oceania,14.2239,2.6118,-0.0608
1876,Temperate,South America,9.3299,2.5559,-0.0915
1876,Tropical,Africa,26.3204,2.5358,-0.0163
1876,Tropical,Asia,26.9182,4.5218,-0.6534
1876,Tropical,North America,25.9336,4.221,0.2722
1876,Tropical,Oceania,26.2653,5.3562,-0.1204
1876,Tropical,South America,25.5842,3.8683,-0.1264
1877,Polar,Antarctica,-34.9656,0.6482,-0.2695
1877,Polar,Asia/Europe,-18.4232,0.7389,-0.5687
1877,Polar,Europe,-9.2931,1.5487,0.4246
1877,Polar,North America,-19.2735,0.682,0.1068
1877,Polar,South America,-8.7769,1.861,0.295
1877,Temperate,Africa,14.2564,2.1646,0.0674
1877,Temperate,Antarctica,-2.7061,2.6555,-0.1668
1877,Temperate,Asia,8.6131,2.4197,-0.0707
1877,Temperate,Asia/Europe,-9.8667,1.2851,-0.6991
1877,Temperate,Europe,8.6487,2.5395,-0.1828
